Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Bluskay - Deceptions,Deceptions(Extended Mix),Bluskay,,Trance,138,D♯ maj,6:55,AMSTR245
Kaimo K - When You Come Home,When You Come Home(Extended Mix),KaimoK,,Trance,138,A min,7:51,AMSTR244
"Nitrous Oxide, Fenna Day - Spring Is Always Somewhere Else",Spring Is Always Somewhere Else(Extended Mix),"NitrousOxide,FennaDay",,Trance,138,F♯ min,7:02,AMSTR243
"Skylex, Emma Horan - Nothing Can Be Further From The Truth",Nothing Can Be Further From The Truth(Extended Mix),"Skylex,EmmaHoran",,Trance,138,B min,6:00,AMSTR242
"Myde, Lauren Ni Chasaide - Wasteland",Wasteland(Extended Mix),"Myde,LaurenNiChasaide",,Trance,138,G♯ min,6:03,AMSTR241
"Amy Kirkpatrick, Drival - No One Else",No One Else(Extended Mix),"AmyKirkpatrick,Drival",,Trance,138,F min,6:05,AMSTR240
Sue McLaren - Unbroken,Unbroken(Extended Mix),SueMcLaren,,Trance,138,B maj,6:32,AMSTR239
Katty Heath - Connection Through Sound (Nikolauss Remix),Connection Through Sound(Nikolauss Extended Mix),KattyHeath,Nikolauss,Trance,140,G maj,6:30,AMSTR238
"Armin van Buuren, Perpetuous Dreamer - The Sound Of Goodbye (The Remixes)",The Sound Of Goodbye(Steve Allen Extended Mix),"ArminvanBuuren,PerpetuousDreamer",SteveAllen,Trance,138,G♯ min,4:47,AMSTR237
"Armin van Buuren, Perpetuous Dreamer - The Sound Of Goodbye (The Remixes)",The Sound Of Goodbye(Ferrin & Morris Extended Mix),"ArminvanBuuren,PerpetuousDreamer",Ferrin&Morris,Trance,138,G♯ min,6:54,AMSTR237
"Armin van Buuren, Perpetuous Dreamer - The Sound Of Goodbye (The Remixes)",The Sound Of Goodbye(Pedro Del Mar & Beatsole Extended Mix),"ArminvanBuuren,PerpetuousDreamer","PedroDelMar,Beatsole",Trance,138,G♯ min,7:07,AMSTR237
"Denise Rivera, Bluskay - Even On A Long Day",Even On A Long Day(Extended Mix),"DeniseRivera,Bluskay",,Trance,138,F min,6:38,AMSTR236
Kaimo K - Hold of You,Hold of You(Extended Mix),KaimoK,,Trance,138,G♯ min,6:53,AMSTR235
"Sunset, Hanna Finsen - Wired By The Fire",Wired By The Fire(Extended Mix),"Sunset,HannaFinsen",,Trance,138,F♯ maj,7:10,AMSTR234
"Elite Electronic, Lauren Ni Chasaide - Lost & Free",Lost & Free(Extended Mix),"EliteElectronic,LaurenNiChasaide",,Trance,138,G♯ maj,6:23,AMSTR233
"Stargazers, Waltin Jay - Closer To Your Light",Closer To Your Light(Extended Mix),"Stargazers,WaltinJay",,Trance,138,G min,6:55,AMSTR232
"Raz Nitzan, Ana Criado - The Spirit of Summer (Dustin Husain Remix)",The Spirit of Summer(Dustin Husain Extended Mix),"RazNitzan,AnaCriado",DustinHusain,Trance,138,G maj,7:18,AMSTR231
