Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Raxon - Destiny EP,Future Past(Original Mix),Raxon,,Techno,125,A min,7:26,DIYNAMIC107
Raxon - Destiny EP,Destiny(Original Mix),Raxon,,Techno,123,F maj,6:22,DIYNAMIC107
Raxon - Destiny EP,Enter Galactic(Original Mix),Raxon,,Techno,124,E♭ maj,8:08,DIYNAMIC107
Elax - Sueño,Sueño(Original Mix),Elax,,MelodicHouse&Techno,124,C min,7:32,DIYNAMIC106
Elax - Sueño,Rhumba(Original Mix),Elax,,MelodicHouse&Techno,125,B♭ min,4:38,DIYNAMIC106
Adam Port - Planet 9 EP,Planet 9(Original Mix),AdamPort,,MelodicHouse&Techno,122,E♭ maj,7:21,DIYNAMIC105
Adam Port - Planet 9 EP,November(Original Mix),AdamPort,,AfroHouse,118,E maj,7:07,DIYNAMIC105
Moscoman - Picture: Moscoman,Song For Bourdain(Original Mix),Moscoman,,MelodicHouse&Techno,124,A♭ min,7:17,DIYNAMIC104
Moscoman - Picture: Moscoman,Let Me Take You Back(Original Mix),Moscoman,,MelodicHouse&Techno,125,E min,8:00,DIYNAMIC104
Moscoman - Picture: Moscoman,Shamaniac(Original Mix),Moscoman,,MelodicHouse&Techno,124,G maj,7:13,DIYNAMIC104
Moscoman - Picture: Moscoman,Change(Original Mix),Moscoman,,IndieDance/NuDisco,120,C maj,7:33,DIYNAMIC104
Moscoman - Picture: Moscoman,Night And Day(Original Mix),Moscoman,,MelodicHouse&Techno,123,D maj,6:08,DIYNAMIC104
Moscoman - Picture: Moscoman,Under Your Wing(Original Mix),Moscoman,,House,124,E min,8:15,DIYNAMIC104
"Tone Depth, Fetsum, Johannes Brecht - Free",Free(HOSH Edit),"ToneDepth,Fetsum,JohannesBrecht",HOSH,MelodicHouse&Techno,122,G min,6:58,DIYNAMIC103
"Alex Metric, Ten Ven - Transmission 1",The Q(Original Mix),"AlexMetric,TenVen",,Electronica/Downtempo,122,E min,6:06,DIYNAMIC102
"Alex Metric, Ten Ven - Transmission 1",Nebula(Original Mix),"AlexMetric,TenVen",,MelodicHouse&Techno,121,B♭ min,6:13,DIYNAMIC102
"Alex Metric, Ten Ven - Transmission 1",Plates(Original Mix),"AlexMetric,TenVen",,MelodicHouse&Techno,123,A min,5:13,DIYNAMIC102
"Matthew Dear, Elax, Denis Horvat, Novakk, Animal Picnic - Four To The Floor 12",Monster(Original Mix),MatthewDear,,MelodicHouse&Techno,118,B maj,5:12,DIYFTTF12
"Matthew Dear, Elax, Denis Horvat, Novakk, Animal Picnic - Four To The Floor 12",Reaktor(Original Mix),Elax,,TechHouse,124,A maj,6:43,DIYFTTF12
"Matthew Dear, Elax, Denis Horvat, Novakk, Animal Picnic - Four To The Floor 12",Madness Of Many(Original Mix),DenisHorvat,,MelodicHouse&Techno,122,A♭ maj,6:59,DIYFTTF12
"Matthew Dear, Elax, Denis Horvat, Novakk, Animal Picnic - Four To The Floor 12",Khokana(Original Mix),"Novakk,AnimalPicnic",,MelodicHouse&Techno,122,D maj,8:28,DIYFTTF12
