Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Layton Giordani - Phase II,New York to Amsterdam(Original Mix),LaytonGiordani,,Techno,128,F min,6:50,DC198
Layton Giordani - Phase II,Body Language(Original Mix),LaytonGiordani,,Techno,128,C maj,6:23,DC198
Layton Giordani - Phase II,Black Mirror(Original Mix),LaytonGiordani,,Techno,127,F min,7:36,DC198
Layton Giordani - Phase II,Enter the Stratosphere(Original Mix),LaytonGiordani,,Techno,126,A maj,6:43,DC198
Marco Faraone - Lunar Eclipse,Never Forget(Original Mix),MarcoFaraone,,Techno,130,E maj,6:54,DC197
Marco Faraone - Lunar Eclipse,Cruiser(Original Mix),MarcoFaraone,,Techno,130,A maj,6:57,DC197
Marco Faraone - Lunar Eclipse,Lunar Eclipse(Original Mix),MarcoFaraone,,Techno,129,D min,8:03,DC197
Marco Faraone - Lunar Eclipse,Take This Trip(Original Mix),MarcoFaraone,,Techno,127,E maj,7:08,DC197
Tiger Stripes - Insanity EP,Baby(Original Mix),TigerStripes,,Techno,126,C maj,6:09,DC196
Tiger Stripes - Insanity EP,Insane(Original Mix),TigerStripes,,Techno,126,B♭ min,7:09,DC196
Tiger Stripes - Insanity EP,Too Deep (To Bear)(Original Mix),TigerStripes,,Techno,126,B min,7:18,DC196
Tiger Stripes - Insanity EP,Dying Planet(Original Mix),TigerStripes,,Techno,125,D maj,6:24,DC196
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Portable Paradise(Original Mix),ANNA,,Techno,127,C min,6:10,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",The Unseen(Original Mix),ThomasSchumacher,,Techno,129,D maj,7:14,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",I Feel the Music(Original Mix),B.Traits,,Techno,129,D min,6:44,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Just(Original Mix),Wehbba,,Techno,128,B♭ maj,5:23,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Lemur(Original Mix),Dense&Pika,,Techno,65,E maj,6:24,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",West of the Moon(Original Mix),BartSkils,,Techno,126,D min,7:07,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Remember(Original Mix),CharlottedeWitte,,Techno,130,B♭ maj,6:41,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Stella Luce(Original Mix),JayLumen,,Techno,130,G maj,7:26,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Pain Thing(Original Mix),"SecretCinema,ReinierZonneveld",,Techno,125,G maj,6:39,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Untitled(Original Mix),"AlanFitzpatrick,SCB",,Techno,125,C maj,7:22,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Shipment(Original Mix),LucaAgnelli,,Techno,129,C maj,6:14,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Pushing On(Original Mix),Pig&Dan,,Techno,127,A♭ maj,7:31,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Other Places(Original Mix),Weska,,Techno,128,E min,6:28,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Night Shade(Original Mix),JelFord,,MelodicHouse&Techno,130,E♭ min,7:11,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Manila(Original Mix),ManWithNoShadow,,Techno,128,D♭ min,6:48,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Final Call(Original Mix),Boxia,,Techno,95,A maj,6:56,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Self Existence(Original Mix),ResetRobot,,Techno,128,D♭ maj,8:09,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Delta(Original Mix),RamiroLopez,,Techno,127,B♭ min,6:26,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Burning Chrome(Original Mix),"ChristianSmith,JohnSelway",,Techno,128,F min,7:07,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Wanted Me(Original Mix),JulietFox,,Techno,126,B♭ min,6:53,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Unfold(Original Mix),"Locomatica,Blaukoma",,MelodicHouse&Techno,128,C min,6:33,DC195
"ANNA, Thomas Schumacher, B.Traits, Wehbba, Dense & Pika - A-Sides Vol.7",Pulso(Original Mix),VictorRuiz,,MelodicHouse&Techno,128,D maj,9:49,DC195
Timmo - Meteorite,Meteorite(Original Mix),Timmo,,Techno,110,G maj,5:56,DC194
