Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Templanza - Galaxy Shots EP,Galaxy Shots(Original Mix),Templanza,,MelodicHouse&Techno,125,C maj,7:29,ELV111
Templanza - Galaxy Shots EP,Heavy Space(Original Mix),Templanza,,MelodicHouse&Techno,125,F♯ maj,5:58,ELV111
Popof - Mind Access EP,No Way(Original Mix),Popof,,Techno,125,C maj,5:41,ELV110
Popof - Mind Access EP,Mind Access(Original Mix),Popof,,Techno,125,B min,5:12,ELV110
Popof - Mind Access EP,On The Line(Original Mix),Popof,,Techno,125,E maj,6:14,ELV110
Aitor Ronda - Transcending In A Search,Transcending In A Search(Original Mix),AitorRonda,,Techno,126,F min,6:25,ELV109
Aitor Ronda - Transcending In A Search,Urkelboot(Original Mix),AitorRonda,,Techno,124,A min,6:00,ELV109
Aitor Ronda - Transcending In A Search,Isolated(Original Mix),AitorRonda,,Techno,126,B♭ min,5:56,ELV109
JSPR - Transvection EP,Transvection(Original Mix),JSPR,,Techno,127,A maj,6:39,ELV108
JSPR - Transvection EP,Against The Program(Original Mix),JSPR,,Techno,127,A min,6:17,ELV108
JSPR - Transvection EP,The Fear Shall Not Alter(Original Mix),JSPR,,Techno,128,D♭ min,7:00,ELV108
Tom Hades - Cloned EP,Cloned(Original Mix),TomHades,,Techno,97,G maj,6:48,ELV107
Tom Hades - Cloned EP,Wake(Original Mix),TomHades,,Techno,128,A♭ maj,6:37,ELV107
Ramon Tapia - Ex Tee Cee EP,Ex Tee Cee(Original Mix),RamonTapia,,Techno,127,C maj,7:06,ELV106
Ramon Tapia - Ex Tee Cee EP,Tick Tack(Original Mix),RamonTapia,,Techno,126,F maj,7:40,ELV106
Eric Sneo - Burning Angels EP,Burning Angels(Original Mix),EricSneo,,Techno,128,E♭ min,7:02,ELV105
Eric Sneo - Burning Angels EP,Feel High(Original Mix),EricSneo,,Techno,128,D♭ min,6:54,ELV105
Oleg Mass - Time Not Wait EP,Time Not Wait(Original Mix),OlegMass,,Techno,94,C min,7:05,ELV104
Oleg Mass - Time Not Wait EP,Here & Now(Original Mix),OlegMass,,Techno,125,C min,6:48,ELV104
Oleg Mass - Time Not Wait EP,Highlight(Original Mix),OlegMass,,Techno,126,D min,8:00,ELV104
"Itamar Sagi, Lonya - Fauda Petite EP",Fauda Petite(Original Mix),"ItamarSagi,Lonya",,Techno,123,G min,7:54,ELV103
"Itamar Sagi, Lonya - Fauda Petite EP",Satyr(Original Mix),"ItamarSagi,Lonya",,Techno,128,E♭ min,7:26,ELV103
"Itamar Sagi, Lonya - Fauda Petite EP",Allium(Original Mix),Lonya,,Techno,125,D maj,7:45,ELV103
Hobo - Nod EP,Canticle(Original Mix),Hobo,,Techno,128,D♭ min,7:18,ELV102
Hobo - Nod EP,Dark Focus(Original Mix),Hobo,,Techno,128,E min,8:00,ELV102
Hobo - Nod EP,Presence(Original Mix),Hobo,,Techno,127,E min,7:05,ELV102
"Karotte, Kaiserdisco - Stork & Crane EP",Crane(Original Mix),"Karotte,Kaiserdisco",,Techno,128,D min,7:41,ELV101
"Karotte, Kaiserdisco - Stork & Crane EP",Stork(Original Mix),"Karotte,Kaiserdisco",,Techno,127,G♭ min,6:35,ELV101
"Pig&Dan, Mark Reeve - Give EP",Give Yourself(Original Mix),"Pig&Dan,MarkReeve",,Techno,126,A♭ min,6:59,ELV100
"Pig&Dan, Mark Reeve - Give EP",Give It Up(Original Mix),"Pig&Dan,MarkReeve",,Techno,126,D♭ min,7:58,ELV100
"The Advent, M.I.T.A. - Dog House EP",Dog House(Original Mix),"TheAdvent,M.I.T.A.",,Techno,127,D min,6:17,ELV99
"The Advent, M.I.T.A. - Dog House EP",Level Down(Original Mix),"TheAdvent,M.I.T.A.",,Techno,97,G min,6:09,ELV99
