Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Eric Lumiere, Steve Brian - In Your Eyes",In Your Eyes(Extended Mix),"EricLumiere,SteveBrian",,Trance,128,E maj,5:03,ENPROG337E
Johan Vilborg - Twins,Twins(Extended Mix),JohanVilborg,,Trance,125,D min,5:31,ENPROG334E
Henry Dark - The Sky EP,The Sky(Extended Mix),HenryDark,,Trance,128,C min,6:15,ENPROG335E
Henry Dark - The Sky EP,Alive(Extended Mix),HenryDark,,Trance,128,F maj,6:34,ENPROG335E
Henry Dark - The Sky EP,Utopia(Extended Mix),HenryDark,,Trance,130,G maj,4:53,ENPROG335E
"Steve Brian, Christian Carcamo - Wait For Me",Wait For Me(Extended Mix),"SteveBrian,ChristianCarcamo",,Trance,126,B♭ maj,6:39,ENPROG333E
Rodrigo Deem - Karachai,Karachai(Extended Mix),RodrigoDeem,,Trance,128,F min,6:16,ENPROG332E
Henry Dark - Utopia,Utopia(Extended Mix),HenryDark,,Trance,130,G maj,4:53,ENPROG330E
"Dezza, Rolo Green - Six Degrees",Six Degrees(Extended Mix),"Dezza,RoloGreen",,Progressive,126,C min,6:00,ENPROG331E
Axis - Kashmir,Kashmir(Extended Mix),Axis,,Trance,128,D min,6:07,ENPROG329E
Matt Fax - Dark Woods / Echo / Ghost Stories,Dark Woods(Extended Mix),MattFax,,Trance,132,B♭ min,6:40,ENPROG328E
Matt Fax - Dark Woods / Echo / Ghost Stories,Echo(Extended Mix),MattFax,,Trance,128,B♭ min,5:31,ENPROG328E
Matt Fax - Dark Woods / Echo / Ghost Stories,Ghost Stories(Extended Mix),MattFax,,Trance,128,D♭ min,6:03,ENPROG328E
Paul Arcane - Memories,Memories(Extended Mix),PaulArcane,,Trance,128,E♭ min,5:46,ENPROG327E
Noise Zoo - HeartQuake,HeartQuake(Extended Mix),NoiseZoo,,Trance,128,F min,5:30,ENPROG326E
Steve Brian - Footprint,Footprint(Extended Mix),SteveBrian,,Trance,128,B♭ min,6:18,ENPROG325E
Henry Dark - Alive,Alive(Extended Mix),HenryDark,,Trance,128,F maj,6:34,ENPROG324E
"Leo Lauretti, Andy Kumanov - Valhalla",Valhalla(Extended Mix),"LeoLauretti,AndyKumanov",,Trance,128,G♭ min,5:37,ENPROG323E
"Dominic Manns, Milad E - Esperance",Esperance(Extended Mix),"DominicManns,MiladE",,Trance,128,G♭ min,5:43,ENPROG322E
Axis - Solar,Solar(Extended Mix),Axis,,Trance,128,F min,5:54,ENPROG321E
"Quizzow, Milad E - Analogous",Analogous(Extended Mix),"Quizzow,MiladE",,Trance,128,E min,5:58,ENPROG320E
Noise Zoo - Faded Colours,Faded Colours(Extended Mix),NoiseZoo,,Trance,128,A♭ min,5:22,ENPROG319E
Axis - Lotus,Lotus(Extended Mix),Axis,,Trance,128,B♭ maj,6:41,ENPROG318E
"Quizzow, Leo Lauretti - Aisha",Aisha(Extended Mix),"Quizzow,LeoLauretti",,Trance,128,G min,5:07,ENPROG317E
"Zuubi, Dalero, Aresz - Eleven",Eleven(Extended Mix),"Zuubi,Dalero,Aresz",,Trance,128,C min,5:28,ENPROG316E
East & Atlas - Look At You,Look At You(Extended Mix),East&Atlas,,Trance,126,B min,6:13,ENPROG315E
