Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Andres Sanchez, Michael Kaelios, Spanish Armada - Leyenda",Leyenda(Extended Mix),"AndresSanchez,MichaelKaelios,SpanishArmada",,Trance,138,B♭ min,8:13,FSOE167
Stoneface & Terminal - Hypogean,Hypogean(Extended Mix),Stoneface&Terminal,,Trance,134,D min,7:44,FSOE165
Alan Morris - Closer To Heaven,Closer To Heaven(Extended Mix),AlanMorris,,Trance,138,G min,6:38,FSOE166
Niko Zografos - Mykonos,Mykonos(Extended Mix),NikoZografos,,Trance,138,E min,7:00,FSOE164
James Dymond - Defector,Defector(Extended Mix),JamesDymond,,Trance,138,G min,7:45,FSOE163
"Jonathan Carvajal, Crystal Blakk, Omar Sherif - Helia",Helia feat. Crystal Blakk(Extended Mix),"JonathanCarvajal,CrystalBlakk,OmarSherif",,Trance,140,D maj,6:47,FSOE162
Darren Porter - To Feel Again,To Feel Again(Extended Mix),DarrenPorter,,Trance,140,B min,6:42,FSOE161
Arctic Moon - Serein,Serein(Extended Mix),ArcticMoon,,Trance,138,B♭ min,7:09,FSOE160
Ahmed Romel - Kenopsia,Kenopsia(Extended Mix),AhmedRomel,,Trance,138,E maj,8:13,FSOE159
A & Z - Lyra,Lyra(Extended Mix),A&Z,,Trance,138,A min,7:34,FSOE158
Dan Stone - Venezuela,Venezuela(Extended Mix),DanStone,,Trance,138,E♭ maj,6:35,FSOE157
Ferry Tayle - Twin Souls,Twin Souls(Extended Mix),FerryTayle,,Trance,138,A maj,7:58,FSOE156
"Justine Suissa, Masters & Nickson - Out There - Robert Nickson 2016 Remix",Out There feat. Justine Suissa(Robert Nickson 2016 Extended Remix),"JustineSuissa,Masters&Nickson",RobertNickson,Trance,69,A maj,7:30,FSOE155
"Simon O'Shine, Sergey Nevone - Extraterrestrials",Extraterrestrials(Extended Mix),"SimonO'Shine,SergeyNevone",,Trance,138,B♭ min,8:17,FSOE154
UCast - Gearbox,Gearbox(Extended Mix),UCast,,Trance,138,E♭ min,7:14,FSOE153
John Askew - Can I Be Frank?,Can I Be Frank?(Extended Mix),JohnAskew,,Trance,138,B min,7:06,FSOE152
"James Dymond, Neve White - With & Without You",With & Without You feat. Neve White(Extended Mix),"JamesDymond,NeveWhite",,Trance,138,A min,7:41,FSOE151
Alan Morris - Elation,Elation(Extended Mix),AlanMorris,,Trance,138,F min,7:04,FSOE150
Factor B - We Rise Again,We Rise Again(Extended Mix),FactorB,,Trance,137,C maj,8:44,FSOE149
Matt Bowdidge - The Calling,The Calling(Extended Mix),MattBowdidge,,Trance,140,E♭ maj,7:25,FSOE148
"Tolland, Kayosa, Matt Noland - Mount Sinai",Mount Sinai feat. Matt Noland(Extended Mix),"Tolland,Kayosa,MattNoland",,Trance,138,E♭ maj,7:08,FSOE147
