Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Sarah Wilkinson - Collide ( incl. Max Freegrant Remix),Collide(Max Freegrant Remix),SarahWilkinson,MaxFreegrant,Trance,124,B min,6:47,FG317
Sarah Wilkinson - Collide ( incl. Max Freegrant Remix),Collide(Original Mix),SarahWilkinson,,Dance,124,B maj,4:54,FG317
Shahin Shantiaei - Blue Marine EP,Blue Marine(Original Mix),ShahinShantiaei,,DeepHouse,120,F min,5:33,FGA012
Shahin Shantiaei - Blue Marine EP,Grey Hours(Original Mix),ShahinShantiaei,,DeepHouse,125,C min,5:10,FGA012
Shahin Shantiaei - Blue Marine EP,White Margaret(Original Mix),ShahinShantiaei,,DeepHouse,123,A min,4:34,FGA012
Shahin Shantiaei - Blue Marine EP,Coral Reef Mama(Original Mix),ShahinShantiaei,,DeepHouse,123,F♯ min,5:12,FGA012
Aressa - Z.O.E,Z.O.E(Extended Mix),Aressa,,Trance,130,D♯ min,5:39,FG316
Aressa - Z.O.E,Z.O.E(Original Mix),Aressa,,Trance,130,D♯ min,4:25,FG316
"Max Freegrant, Slow Fish - Cats In The Jungle",Cats In The Jungle(Extended Mix),"MaxFreegrant,SlowFish",,MelodicHouse&Techno,120,E min,7:16,FG315
"Max Freegrant, Slow Fish - Cats In The Jungle",Cats In The Jungle(Original Mix),"MaxFreegrant,SlowFish",,MelodicHouse&Techno,120,E min,3:38,FG315
Revkin - No Recollection EP,No Recollection(Original Mix),Revkin,,Trance,125,D min,6:13,FG314
Revkin - No Recollection EP,Lost In Time(Original Mix),Revkin,,Trance,125,B min,7:30,FG314
Revkin - No Recollection EP,Do Androids Dream(Original Mix),Revkin,,Trance,124,C min,6:47,FG314
Stan Kolev - Listen,Listen(Extended Mix),StanKolev,,ProgressiveHouse,123,A♭ maj,7:07,FG313
Stan Kolev - Listen,Listen(Original Mix),StanKolev,,ProgressiveHouse,123,A♭ maj,3:28,FG313
Rokazer - Circular / I'm With You Now,Circular(Original Mix),Rokazer,,MelodicHouse&Techno,121,A♭ maj,6:04,FG312
Rokazer - Circular / I'm With You Now,I'm With You Now(Original Mix),Rokazer,,ProgressiveHouse,120,B♭ min,7:03,FG312
Tatana - Resonance (incl. Matan Caspi Remix),Resonance(Matan Caspi Remix),Tatana,MatanCaspi,ProgressiveHouse,122,F maj,7:26,FG311
Tatana - Resonance (incl. Matan Caspi Remix),Resonance(Original Mix),Tatana,,ProgressiveHouse,118,F min,4:36,FG311
"Tim Iron, Noequalgods - Storm",Storm(Original Mix),"TimIron,Noequalgods",,Trance,128,B♭ min,5:37,FG310
"Tim Iron, Noequalgods - Storm",Storm(Noequalgods 'Emerald Summer' Mix),"TimIron,Noequalgods",Noequalgods,Trance,128,B♭ min,4:37,FG310
"Max Freegrant, Slow Fish - Ritual",Ritual(Extended Mix),"MaxFreegrant,SlowFish",,MelodicHouse&Techno,123,A maj,6:25,FG309
"Max Freegrant, Slow Fish - Ritual",Ritual(Original Mix),"MaxFreegrant,SlowFish",,MelodicHouse&Techno,123,A min,2:41,FG309
"Max Freegrant, Slow Fish, Stan Kolev, One Million Toys, Andre Sobota - ADE2018",Sweet Lies(Extended Mix),"MaxFreegrant,SlowFish",,ProgressiveHouse,122,D min,7:13,FGC037
"Max Freegrant, Slow Fish, Stan Kolev, One Million Toys, Andre Sobota - ADE2018",Oblivion(Donny Carr Remix),StanKolev,DonnyCarr,MelodicHouse&Techno,123,B♭ maj,8:04,FGC037
"Max Freegrant, Slow Fish, Stan Kolev, One Million Toys, Andre Sobota - ADE2018",Runaway(Enrico Sangiuliano Voum Remix),MaxFreegrant,EnricoSangiuliano,MelodicHouse&Techno,128,B min,9:26,FGC037
"Max Freegrant, Slow Fish, Stan Kolev, One Million Toys, Andre Sobota - ADE2018",Ohara(Original Mix),OneMillionToys,,ProgressiveHouse,124,A min,7:56,FGC037
"Max Freegrant, Slow Fish, Stan Kolev, One Million Toys, Andre Sobota - ADE2018",Ground Level(Original Mix),AndreSobota,,ProgressiveHouse,124,E min,6:10,FGC037
"Max Freegrant, Slow Fish, Stan Kolev, One Million Toys, Andre Sobota - ADE2018",Charlotte Everytime(Max Freegrant & Slow Fish Remix),DaFresh,"MaxFreegrant,SlowFish",ProgressiveHouse,122,D maj,6:09,FGC037
"Max Freegrant, Slow Fish, Stan Kolev, One Million Toys, Andre Sobota - ADE2018",Get Back(Original Mix),Dezza,,ProgressiveHouse,124,G♭ min,5:58,FGC037
