Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Thomas Schumacher - The Fuzz,The Fuzz(Original Mix),ThomasSchumacher,,Techno,130,C♯ maj,7:38,NMW117
Thomas Schumacher - The Fuzz,Reversal(Original Mix),ThomasSchumacher,,Techno,131,D♯ maj,7:44,NMW117
"Noir, Cari Golden - Done / Undone",Done(Original Mix),"Noir,CariGolden",,Techno,67,E min,7:10,NMW116
"Noir, Cari Golden - Done / Undone",Undone(Original Mix),Noir,,Techno,136,A min,7:46,NMW116
David Granha - Savala,Balea(Original Mix),DavidGranha,,Techno,130,G maj,6:25,NMW115
David Granha - Savala,Savala(Original Mix),DavidGranha,,Techno,128,G♭ min,6:25,NMW115
David Granha - Savala,Mortal Sins(Original Mix),DavidGranha,,Techno,130,G maj,6:56,NMW115
Victor Ruiz - The Eye Of The Beholder,The Eye Of The Beholder(Original Mix),VictorRuiz,,Techno,95,G maj,7:42,NMW114
Victor Ruiz - The Eye Of The Beholder,Tormenta(Original Mix),VictorRuiz,,Techno,128,B maj,8:36,NMW114
Victor Ruiz - The Eye Of The Beholder,Rainbow In The Dark(Original Mix),VictorRuiz,,MelodicHouse&Techno,126,B♭ maj,8:40,NMW114
Thomas Schumacher - Embody Paradox,Embody(Original Mix),ThomasSchumacher,,Techno,128,F maj,7:46,NMW113
Thomas Schumacher - Embody Paradox,Paradox(Original Mix),ThomasSchumacher,,Techno,128,D maj,6:48,NMW113
"Any Mello, K.A.L.I.L. - Revolved",Involved(Original Mix),"AnyMello,K.A.L.I.L.",,Techno,128,F maj,6:26,NMW112
"Any Mello, K.A.L.I.L. - Revolved",Revolved(Original Mix),K.A.L.I.L.,,Techno,126,A maj,6:49,NMW112
Noir - Disruptions,Eruption(Original Mix),Noir,,Techno,128,F maj,7:13,NMW111
Noir - Disruptions,Disruption(Original Mix),Noir,,Techno,130,E♭ min,7:24,NMW111
David Granha - Resurrection,The Gates(Original Mix),DavidGranha,,Techno,126,A maj,7:32,NMW110
David Granha - Resurrection,Resurrection(Original Mix),DavidGranha,,Techno,126,B♭ min,5:50,NMW110
SAMA - Indifference,Curiosity(Original Mix),SAMA,,Techno,126,E maj,7:39,NMW109
SAMA - Indifference,Indifference(Original Mix),SAMA,,Techno,126,B min,8:14,NMW109
Olivier Giacomotto - Bipolar Star (2018 Remixes),Bipolar Star(Victor Ruiz Remix),OlivierGiacomotto,VictorRuiz,Techno,126,D maj,7:40,NMW061R
Olivier Giacomotto - Bipolar Star (2018 Remixes),Bipolar Star(Re:Axis Remix),OlivierGiacomotto,Re:Axis,Techno,125,D min,5:58,NMW061R
Olivier Giacomotto - Bipolar Star (2018 Remixes),Bipolar Star(Animal Picnic & Aaryon Remix),OlivierGiacomotto,"AnimalPicnic,Aaryon",Techno,123,D maj,6:53,NMW061R
Thomas Schumacher - Natural Rhythm III,Stella(Original Mix),ThomasSchumacher,,Techno,128,C min,9:27,NMW108
Thomas Schumacher - Natural Rhythm III,Persistence(Original Mix),ThomasSchumacher,,Techno,129,E♭ maj,7:08,NMW108
Paul Ursin - Sinthesis Vol. 4,Turbo(Original Mix),PaulUrsin,,Techno,126,A♭ min,6:21,NMW107
Paul Ursin - Sinthesis Vol. 4,Blackout(Original Mix),PaulUrsin,,Techno,129,A min,8:31,NMW107
Thomas Schumacher - Natural Rhythm II,Unconfused(Original Mix),ThomasSchumacher,,Techno,129,B♭ maj,9:57,NMW106
Thomas Schumacher - Natural Rhythm II,Locust(Original Mix),ThomasSchumacher,,Techno,128,G♭ maj,7:07,NMW106
"Marascia, Dusty Kid - Black Hole",Black Hole(Original Mix),"Marascia,DustyKid",,Techno,130,A maj,6:30,NMW105
"Marascia, Dusty Kid - Black Hole",Black Hole(Ultimate Mix),"Marascia,DustyKid",,Techno,65,A maj,7:04,NMW105
Tone Depth - Escape,Panama(Original Mix),ToneDepth,,Techno,122,A min,8:23,NMW104
Tone Depth - Escape,Bhutan(Original Mix),ToneDepth,,Techno,123,E maj,7:17,NMW104
Tone Depth - Escape,Burma(Original Mix),ToneDepth,,Techno,123,C min,7:33,NMW104
Thomas Schumacher - Natural Rhythm,On-Off (Inhale-Exhale)(Original Mix),ThomasSchumacher,,MelodicHouse&Techno,126,B min,8:00,NMW103
Thomas Schumacher - Natural Rhythm,Falling(Original Mix),ThomasSchumacher,,Techno,125,A min,7:30,NMW103
Affkt - Squared,Notch(Original Mix),Affkt,,TechHouse,123,G maj,6:15,NMW102
Affkt - Squared,Emom(Original Mix),Affkt,,Techno,122,E maj,6:52,NMW102
Affkt - Squared,Eris(Original Mix),Affkt,,Techno,124,F maj,6:44,NMW102
John Monkman - Trusting Source,Trusting Source(Original Mix),JohnMonkman,,Techno,124,C min,6:35,NMW101
John Monkman - Trusting Source,Lacquer(Original Mix),JohnMonkman,,Techno,124,D♭ maj,5:51,NMW101
"Jinadu, Jos & Eli - Adrenaline Hunt",Obscured Mind(Original Mix),"Jinadu,Jos&Eli",,DeepHouse,120,D♭ min,7:37,NMB080
"Jinadu, Jos & Eli - Adrenaline Hunt",Initiation(Original Mix),Jos&Eli,,DeepHouse,120,E maj,8:28,NMB080
"Jinadu, Jos & Eli - Adrenaline Hunt",Adrenaline Hunt(Original Mix),Jos&Eli,,DeepHouse,122,E♭ maj,8:00,NMB080
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Dance Pain(Original Mix),"RashidAjami,NathanDaisy",,DeepHouse,120,D min,7:29,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Storm(Olivier Giacomotto Remix),"MatteoLuis,HRRSN",OlivierGiacomotto,DeepHouse,122,B maj,8:08,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Anno Domino(Original Mix),ThirdSon,,DeepHouse,123,C min,8:27,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Sunset Riders(Original Mix),Affkt,,TechHouse,123,D maj,6:15,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Grenoble(Secret Cinema & Egbert Remix),Kiko,"SecretCinema,Egbert",TechHouse,127,E♭ maj,7:10,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Metropolitain(Original Mix),DJTonio,,Techno,124,E maj,7:38,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Tets(Original Mix),"AnimalPicnic,Aaryon",,Techno,123,C maj,6:48,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",What Time Is It(Original Mix),"Kiko,CitizenKain",,TechHouse,125,A maj,7:23,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",Running On Acid(Original Mix),AndreSalata,,Techno,124,D min,7:01,DS003
"Rashid Ajami, Nathan Daisy, Matteo Luis, HRRSN, Third Son - Dark Stars 003",No Picnic(Original Mix),"Veerus,MaxieDevine",,Techno,125,E♭ min,7:13,DS003
Kiko - Drumatta,Mindgate(Original Mix),Kiko,,Techno,123,F maj,7:40,NMW100
Kiko - Drumatta,Onze(Original Mix),Kiko,,Techno,124,A maj,6:46,NMW100
Kiko - Drumatta,Drumatta(Original Mix),Kiko,,Techno,123,A maj,7:01,NMW100
Paul Ursin - Sinthesis Vol. 3,Blackeys(Original Mix),PaulUrsin,,TechHouse,123,B♭ min,7:48,NMW099
Paul Ursin - Sinthesis Vol. 3,Secret Sun(Original Mix),PaulUrsin,,TechHouse,123,E♭ min,6:15,NMW099
Paul Ursin - Sinthesis Vol. 3,Lasers(Original Mix),PaulUrsin,,TechHouse,122,F maj,7:05,NMW099
Paul Ursin - Sinthesis Vol. 3,Filters(Original Mix),PaulUrsin,,TechHouse,122,E♭ maj,6:32,NMW099
Ron Costa - Humee,Humee(Original Mix),RonCosta,,TechHouse,126,A min,6:11,NMW098
Ron Costa - Humee,Barcel(Original Mix),RonCosta,,TechHouse,127,F maj,5:34,NMW098
Ron Costa - Humee,Vosate(Original Mix),RonCosta,,TechHouse,127,G min,5:35,NMW098
DJ Tonio - The Doppler Effect,Floods(Original Mix),DJTonio,,Techno,124,F maj,7:38,NMW097
