Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Alina Renae, Nicholas Gunn - Older (Costa Remix)",Older(Costa Extended Mix),"AlinaRenae,NicholasGunn",Costa,Trance,128,F♯ min,8:17,RNMR132
"Neev Kennedy, Alex Ender - Hurt of Intention",Hurt of Intention(Extended Mix),"NeevKennedy,AlexEnder",,Trance,134,C♯ min,6:27,RNMR131
"Raz Nitzan, Ellie Lawson - Beyond Time (Aurosonic Remix)",Beyond Time(Aurosonic Extended Mix),"RazNitzan,EllieLawson",Aurosonic,Trance,128,G min,6:09,RNMR130
"Alex Leavon, Julia Ross - When I'm With You",When I'm With You(Extended Mix),"AlexLeavon,JuliaRoss",,Trance,130,A♭ maj,5:17,RNMR129
"Derek Ryan, Melissa R. Kaplan - After Dark",After Dark(Extended Mix),"DerekRyan,MelissaR.Kaplan",,Trance,138,G♯ min,7:42,RNMR128
"Costa, Vera Kramer - Never Give Up (Baltic Waves)",Never Give Up (Baltic Waves)(Extended Mix),"Costa,VeraKramer",,Trance,128,F maj,7:07,RNMR127
"Alina Renae, Limelght - Run & Hide",Run & Hide(Extended Mix),"AlinaRenae,Limelght",,Trance,131,F min,5:56,RNMR126
"Ronski Speed, Sarah Lynn - Beat Alive (Denis Airwave Remix)",Beat Alive(Denis Airwave Extended Mix),"RonskiSpeed,SarahLynn",DenisAirwave,Trance,132,D min,7:09,RNMR125
Alex Leavon - When The Sun Goes Down,When The Sun Goes Down(Extended Mix),AlexLeavon,,Trance,130,E maj,5:50,RNMR124
"Danny Claire, Tom Boldt - Don't Forget Our Love",Don't Forget Our Love(Extended Mix),"DannyClaire,TomBoldt",,Trance,128,A maj,5:46,RNMR123
"Raz Nitzan, Lauren Ni Chasaide - Show Me The Way",Show Me The Way(Extended Mix),"RazNitzan,LaurenNiChasaide",,Trance,130,D maj,5:50,RNMR122
"4 Strings, Sue McLaren - Better Part of Me",Better Part of Me(Extended Mix),"4Strings,SueMcLaren",,Trance,101,D♭ min,5:02,RNMR121
"Gemma Pavlovic, Ahmed Helmy - Stay With The Feeling",Stay With The Feeling(Extended Mix),"GemmaPavlovic,AhmedHelmy",,Trance,128,D min,5:47,RNMR120
"Sarah Lynn, Whiteout - Stride of Freedom",Stride of Freedom(Extended Mix),"SarahLynn,Whiteout",,Trance,67,C min,6:23,RNMR119
"Fisher, Karanda - Rain",Rain(Extended Mix),"Fisher,Karanda",,Trance,128,C min,6:07,RNMR117
"Raz Nitzan, Ellie Lawson - Beyond Time",Beyond Time(Extended Mix),"RazNitzan,EllieLawson",,Trance,130,G min,5:54,RNMR116
