Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Orjan Nilsen, Ruben De Ronde, Rodg - Booya - Ruslan Radriges Remix",Booya(Ruslan Radriges Extended Remix),"OrjanNilsen,RubenDeRonde,Rodg",RuslanRadriges,Trance,130,G min,5:39,STM248
Rodg - Beam,Beam(Extended Mix),Rodg,,Trance,128,F min,5:05,STM247
Lumisade - Onawo,Onawo(Extended Mix),Lumisade,,Trance,126,G min,7:18,STM245
Elevven - Firefly,Firefly(Extended Mix),Elevven,,Trance,130,D maj,5:35,STM246
Danny Chen - Kudos,Kudos(Extended Mix),DannyChen,,Trance,128,F min,5:41,STM244
"Ruben De Ronde, Rodg, Chloe - When You're Gone - Ben Nicky Remix",When You're Gone(Ben Nicky Extended Remix),"RubenDeRonde,Rodg,Chloe",BenNicky,BigRoom,138,G maj,4:42,STM243
"Ruben De Ronde, Rodg - Strobe Machine - Pacco & Rudy B Remix",Strobe Machine(Pacco & Rudy B Extended Remix),"RubenDeRonde,Rodg",Pacco&RudyB,Trance,122,A♭ min,8:23,STM242
Rodg - Ticket To Jupiter,Ticket To Jupiter(Extended Mix),Rodg,,Trance,126,G maj,5:12,STM241
Estiva - Rage Race,Rage Race(Extended Mix),Estiva,,Trance,125,A maj,7:29,STM240
"Ruben De Ronde, Natalie Gioia, Yoel Lewis - Madrigal",Madrigal feat. Natalie Gioia(Extended Mix),"RubenDeRonde,NatalieGioia,YoelLewis",,Trance,128,F min,5:42,STM239
"Ruben De Ronde, Rodg, Hal Stucker - (L) - Pacco & Rudy B Remix",(L)(Pacco & Rudy B Extended Remix),"RubenDeRonde,Rodg,HalStucker",Pacco&RudyB,ProgressiveHouse,122,E♭ min,8:25,STM238
Marcus Santoro - Polaroid,Polaroid(Extended Mix),MarcusSantoro,,Trance,128,E maj,5:39,STM237
"JES, Elevven - Heartbeat Tonight",Heartbeat Tonight(Extended Mix),"JES,Elevven",,Trance,128,A♭ min,5:18,STM236
"Sound Quelle, Max Meyer - Apollo",Apollo(Extended Mix),"SoundQuelle,MaxMeyer",,Trance,128,B maj,4:23,STM231
Thomas Mengel - Anthracite,Anthracite(Extended Mix),ThomasMengel,,Trance,128,A min,6:16,STM232
"Ruben De Ronde, Rodg, Sir Notch - Larger Than Life - Elevven Mix",Larger Than Life(Elevven Extended Remix),"RubenDeRonde,Rodg,SirNotch",Elevven,Trance,65,B maj,6:28,STM235
Rodg - Heights,Heights(Extended Mix),Rodg,,Trance,126,F maj,6:07,STM230
