Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Raito - Ikaruga EP,Ikaruga(Original Mix),Raito,,Techno,130,D♭ min,5:55,SUARA336
Raito - Ikaruga EP,Caustic(Original Mix),Raito,,Techno,130,B min,5:40,SUARA336
Raito - Ikaruga EP,002(Original Mix),Raito,,Techno,128,G maj,6:30,SUARA336
Raito - Ikaruga EP,Mew(Original Mix),Raito,,Techno,129,G maj,5:58,SUARA336
Raito - Ikaruga EP,Dark Ritual(Original Mix),Raito,,Techno,127,A maj,6:03,SUARA336
Bastian Bux - Multiple Realities EP,Indanha(Original Mix),BastianBux,,Techno,132,A maj,5:23,SUARA335
Bastian Bux - Multiple Realities EP,Mrak(Original Mix),BastianBux,,Techno,134,B♭ min,6:32,SUARA335
Bastian Bux - Multiple Realities EP,Zid(Original Mix),BastianBux,,Techno,131,G maj,4:59,SUARA335
Bastian Bux - Multiple Realities EP,Neopisivo(Original Mix),BastianBux,,Techno,131,G♭ min,7:19,SUARA335
Hioll - Signals EP,Repetition Pattern(Coyu Raw Mix),Hioll,Coyu,Techno,130,F min,6:28,SUARA334
Hioll - Signals EP,Signals(Original Mix),Hioll,,Techno,131,B♭ min,5:51,SUARA334
Hioll - Signals EP,Regeneration Chamber(Original Mix),Hioll,,Techno,133,E min,5:43,SUARA334
Hioll - Signals EP,Respuestas Modulares(Original Mix),Hioll,,Techno,134,G min,5:58,SUARA334
Hioll - Signals EP,Repetition Pattern(Original Mix),Hioll,,Techno,135,E maj,5:21,SUARA334
Lopezhouse - Motorik EP,Motorik(Original Mix),Lopezhouse,,IndieDance/NuDisco,124,A min,11:21,SUARA333
Lopezhouse - Motorik EP,Motorik(Sascha Funke Hard House Remix),Lopezhouse,SaschaFunke,IndieDance/NuDisco,120,G maj,7:00,SUARA333
Lopezhouse - Motorik EP,Motorik(Sascha Funke Rave Remix),Lopezhouse,SaschaFunke,IndieDance/NuDisco,120,E maj,7:02,SUARA333
Kaiserdisco - Rude EP,Trip(Original Mix),Kaiserdisco,,Techno,130,A min,6:56,SUARA332
Kaiserdisco - Rude EP,Wild(Original Mix),Kaiserdisco,,Techno,131,G maj,6:07,SUARA332
Kaiserdisco - Rude EP,Uncontrolled(Original Mix),Kaiserdisco,,Techno,130,A maj,6:55,SUARA332
Jeff Derringer - The Astronaut EP,Mercury(Original Mix),JeffDerringer,,Techno,128,C maj,6:16,SUARA331
Jeff Derringer - The Astronaut EP,Mercury(James Ruskin Remix),JeffDerringer,JamesRuskin,Techno,132,B♭ min,6:21,SUARA331
Jeff Derringer - The Astronaut EP,Apollo(Original Mix),JeffDerringer,,Techno,128,G min,5:57,SUARA331
Jeff Derringer - The Astronaut EP,Apollo(Cassegrain Remix),JeffDerringer,Cassegrain,Techno,132,F min,5:40,SUARA331
Jeff Derringer - The Astronaut EP,The Astronaut(Digital Only),JeffDerringer,,Techno,127,B♭ min,6:19,SUARA331
Harvey McKay - The Other Side Of The Void EP,The Other Side Of The Void(Original Mix),HarveyMcKay,,Techno,127,C min,5:23,SUARA330
Harvey McKay - The Other Side Of The Void EP,Acetate(Original Mix),HarveyMcKay,,Techno,132,A♭ maj,5:29,SUARA330
Harvey McKay - The Other Side Of The Void EP,LSD AND IRN BRU(Original Mix),HarveyMcKay,,Techno,129,E♭ maj,6:27,SUARA330
"Audio Junkies, Cari Golden, Sisko Electrofanatik, T78, Vinicius Honorio - Alpha Sides",What Is Real Feat. Cari Golden(Original Mix),"AudioJunkies,CariGolden",,MelodicHouse&Techno,122,D maj,7:07,SCOM034
"Audio Junkies, Cari Golden, Sisko Electrofanatik, T78, Vinicius Honorio - Alpha Sides",Loud(Original Mix),"SiskoElectrofanatik,T78",,Techno,128,F min,6:09,SCOM034
"Audio Junkies, Cari Golden, Sisko Electrofanatik, T78, Vinicius Honorio - Alpha Sides",Levitate(Original Mix),ViniciusHonorio,,Techno,129,A min,6:32,SCOM034
"Audio Junkies, Cari Golden, Sisko Electrofanatik, T78, Vinicius Honorio - Alpha Sides",Makumba(2018 Remake),A.Paul,,Techno,131,E♭ min,5:25,SCOM034
"Audio Junkies, Cari Golden, Sisko Electrofanatik, T78, Vinicius Honorio - Alpha Sides",Ninety 3(Original Mix),Avision,,Techno,128,B♭ maj,6:47,SCOM034
"Audio Junkies, Cari Golden, Sisko Electrofanatik, T78, Vinicius Honorio - Alpha Sides",Acid Siren(Original Mix),IanO'Donovan,,Techno,128,D♭ min,7:27,SCOM034
Cardao - Jedi's Life EP,Locked In A Feeling(Original Mix),Cardao,,Techno,134,C min,6:47,SUARA329
Cardao - Jedi's Life EP,Funky Child(Original Mix),Cardao,,Techno,132,A min,5:54,SUARA329
Cardao - Jedi's Life EP,Cypher(Original Mix),Cardao,,Techno,128,G min,6:14,SUARA329
Cardao - Jedi's Life EP,Distant Land(Original Mix),Cardao,,Techno,128,D maj,6:15,SUARA329
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",The Power Of Acid(Original Mix),"GiovanniCarozza,BlackShade",,Techno,130,D maj,6:11,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",RAM 303(Original Mix),Chipi,,Techno,130,G maj,6:33,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Nomen Iuris(Original Mix),Peja,,Techno,130,B♭ min,6:27,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",German Death Reggae(Original Mix),JXTPS,,Techno,130,A maj,5:49,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Hyperacid(Original Mix),GiacomoRenzi,,Techno,130,A min,6:42,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Hell Tell(Original Mix),IAmBam,,Techno,130,D♭ min,5:43,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Loaded(Original Mix),Element0,,Techno,128,D♭ maj,8:38,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Chroma(Original Mix),"A.Paul,DolbyD",,Techno,132,A♭ maj,6:18,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Something Else(Original Mix),ViniciusHonorio,,Techno,127,E min,7:03,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Depth Of Nervous(Original Mix),Jusai,,Techno,135,A min,7:21,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Nightbird(Original Mix),SimoneTavazzi,,Techno,65,D maj,6:00,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Beys(Original Mix),Wisna,,Techno,133,C min,7:28,SCOM033
"Giovanni Carozza, Black Shade, Chipi, Peja, JXTPS - Raw Tracks",Venus Empire(Original Mix),Balthazar&JackRock,,Techno,130,A min,5:26,SCOM033
"2pole, Ebbe - Magnetar EP",Magnetar(Original Mix),2pole,,Techno,130,C min,7:04,SUARA328
"2pole, Ebbe - Magnetar EP",Pulsar(Original Mix),2pole,,Techno,130,E maj,6:28,SUARA328
"2pole, Ebbe - Magnetar EP",RAM(Original Mix),"2pole,Ebbe",,Techno,129,G♭ maj,5:49,SUARA328
Mikael Jonasson - Kosmos EP,Scholar(Original Mix),MikaelJonasson,,Techno,95,E♭ min,5:50,SUARA327
Mikael Jonasson - Kosmos EP,Mosaic(Luca Agnelli Remix),MikaelJonasson,LucaAgnelli,Techno,130,E min,6:50,SUARA327
Mikael Jonasson - Kosmos EP,Mosaic(Original Mix),MikaelJonasson,,Techno,130,E maj,6:00,SUARA327
Mikael Jonasson - Kosmos EP,Kosmos(Original Mix),MikaelJonasson,,Techno,95,C min,6:04,SUARA327
Mikael Jonasson - Kosmos EP,Kosmos(TWR72 Remix),MikaelJonasson,TWR72,Techno,130,B♭ min,5:13,SUARA327
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Mind Your Step(Original Mix),CitizenKain,,MelodicHouse&Techno,123,D min,6:52,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Rheecon(Original Mix),"Kintar,BOg",,MelodicHouse&Techno,125,G maj,6:40,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Longer Time(Original Mix),LuisJunior,,DeepHouse,123,D min,8:28,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Mammoth(Original Mix),Solee,,ProgressiveHouse,125,E maj,10:32,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Hypernova(Original Mix),IlijaDjokovic,,MelodicHouse&Techno,127,B♭ maj,6:35,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Pulsar(Original Mix),"GNTN,OliverWinters",,MelodicHouse&Techno,125,A min,7:19,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",City Tree(Original Mix),Remcord,,MelodicHouse&Techno,122,C maj,7:22,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Lose Sight(Original Mix),BrianCid,,DeepHouse,122,G maj,7:36,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Chromatic(Original Mix),AlexSchaufel,,MelodicHouse&Techno,124,A min,6:53,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Arís(Original Mix),NeilFlynn,,DeepHouse,121,A♭ min,7:24,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Airwave(Original Mix),EzequielArias,,ProgressiveHouse,123,D maj,7:38,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Ariel(Original Mix),ChristianBonori,,Techno,128,D min,6:26,SCOM032
"Citizen Kain, Kintar, BOg, Luis Junior, Solee - Astral House",Place Of Hope(Original Mix),DJJock,,ProgressiveHouse,125,A♭ maj,7:10,SCOM032
"Green Velvet, Coyu - Coyu Raw Tracks Vol. 2",The Last Generation(Coyu Raw Mix),"GreenVelvet,Coyu",,Techno,130,G min,6:46,SUARA326
Michael Klein - Man In The Mirror EP,Man In The Mirror(Original Mix),MichaelKlein,,Techno,129,G min,6:04,SUARA325
Michael Klein - Man In The Mirror EP,Eye To Eye(Original Mix),MichaelKlein,,Techno,129,E maj,8:14,SUARA325
Michael Klein - Man In The Mirror EP,Eye To Eye(Subjected Remix),MichaelKlein,Subjected,Techno,131,A min,6:44,SUARA325
