Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Es Vedra(Original Mix),DiegoInfanzon,,Techno,127,G min,8:14,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Overdoze(Original Mix),MattiaSaviolo,,Techno,128,D♯ min,7:30,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Carbon Steel(Original Mix),SpirosKaloumenos,,Techno,130,A♯ min,6:24,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Say Me(Original Mix),LucaGaeta,,Techno,128,A min,6:52,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Crumpled Vibe(Original Mix),AxelKarakasis,,Techno,128,A♯ min,7:07,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Alter Ego(Original Mix),Sonate,,Techno,128,F maj,5:46,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Dynamic Brains(Original Mix),"Hollen,TheSouthern",,Techno,128,C min,5:52,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Darkside(Original Mix),AntonX,,MelodicHouse&Techno,123,F maj,7:17,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Inside(Original Mix),Tibiza,,Techno,127,B maj,6:25,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Switch(Original Mix),Metha,,Techno,125,G min,6:18,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Nemesis(Original Mix),2pole,,Techno,127,G min,6:44,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Metamorphosis(Original Mix),"ChristianSmith,JohnSelway",,Techno,128,A min,7:41,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Sa Punta(Drunken Kong Remix),Goncalo,DrunkenKong,Techno,126,A min,7:20,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Hydra(Aitor Ronda Remix),Kaiserdisco,AitorRonda,Techno,126,A min,7:14,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",The End Of It All(Original Mix),Loco&Jam,,Techno,125,A♯ min,7:48,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",King Of The North(Original Mix),RobHes,,Techno,126,B min,5:58,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Eggshells(Original Mix),LAAT,,Techno,125,D min,7:25,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Shadows(Original Mix),Tibiza,,Techno,128,G maj,6:31,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Snake(Jam El Mar Remix),"ChristianSmith,2pole",JamElMar,Techno,129,C maj,7:30,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",A New Light(Original Mix),DrunkenKong,,Techno,126,A min,7:58,TR304
