Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Paul van Dyk - Music Rescues Me (feat. Plumb) [Pvd Club Mix],Music Rescues Me feat. Plumb(Pvd Club Mix),PaulvanDyk,,Trance,138,C maj,7:10,VAN2309
"Liam Melly, Digital Rush - Override (Extended)",Override(Extended),"LiamMelly,DigitalRush",,Trance,138,C min,7:21,VAN2319
"Binary Finary, Pierre Pienaar - Vesta (Extended)",Vesta(Extended),"BinaryFinary,PierrePienaar",,Trance,93,B maj,7:22,VAN2312
"Project 8, Shane Kinsella - Immerse (Extended)",Immerse(Extended),"Project8,ShaneKinsella",,Trance,138,G maj,7:21,VAN2313
Mohamed Bahi - Ain Diab Sunset (Extended),Ain Diab Sunset(Extended),MohamedBahi,,Trance,138,D♯ min,6:55,VAN2318
"Frank Dueffel, Jardin - Afterlife",Afterlife(Original Mix),"FrankDueffel,Jardin",,Trance,139,G maj,5:59,VAN2311
Alex Ryan - Cala Conta,Cala Conta(Original Mix),AlexRyan,,Trance,140,F♯ min,6:15,VAN2306
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",SHINE Ibiza Anthem 2018 (Paul van Dyk presents SHINE)(Edit),"PaulvanDyk,Shine",,Trance,138,D maj,3:16,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Ozone(Craig Connelly Remix),GiuseppeOttaviani,,Trance,138,A min,3:21,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Ambush(Original Mix),"AlexM.O.R.P.H.,JordanSuckley",,Trance,136,D min,6:15,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Caliber-12(Original Mix),"WoodyVanEyden,JamesCottle",,Trance,140,A min,3:47,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Open My Mind(Original Mix),"BryanKearney,DeirdreMcLaughlin",,Trance,138,F maj,7:11,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Antus(Original Mix),"RichardLowe,SuzanneChesterton",,Trance,138,G min,5:40,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",1000 Sterne(Original Mix),Neelix,,Trance,138,G min,3:47,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Affinity 2018(Original Mix),"TheThrillseekers,Hydra",,Trance,138,G min,7:55,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",TXL(Original Mix),"ChrisBekker,Farius",,ProgressiveHouse,128,G min,3:28,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",If Not Now(Club Mix),"CosmicGate,JES",,Trance,126,A min,3:27,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Fall for You feat. Lucy Pullin(Original Mix),SimonPatterson,,Trance,134,F♯ maj,3:27,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Soundtrack 2018(Continuous Mix 1),SHINEIbiza,,Trance,138,D min,1:00:22,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Ananda(Original Mix),MennoDeJong,,Trance,140,G♯ min,5:09,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Breaking Dawn(Original Mix),"AlexM.O.R.P.H.,PaulvanDyk",,Trance,138,G♯ maj,6:31,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Atlantis(Original Mix),AlexRyan,,Trance,93,D♯ maj,3:54,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Fading Away(Original Mix),"Project8,ShaneKinsella",,Trance,138,D♯ min,5:06,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Hot Plate(Original Mix),"BenNicky,SCNDL",,Trance,145,D♯ min,3:46,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Into the Deep(Original Mix),STANDERWICK,,Trance,138,A♯ maj,5:51,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Seventh Heaven(Edit),WillAtkinson,,Trance,140,D♯ maj,3:17,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Hooligan(Original Mix),StephenKirkwood,,Trance,138,G min,3:29,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Surrender feat. Sue McLaren(Original Mix),Aly&Fila,,Trance,140,C♯ maj,7:29,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Home feat. Johnny McDaid(Eddie Bitar Remix),PaulvanDyk,EddieBitar,Trance,140,B min,6:26,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Hourglass(Edit),Grum,,Trance,125,B min,5:37,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Shadow(Paul Thomas Remix),Aly&Fila,PaulThomas,Trance,122,C maj,3:16,VAN2303
"Ben Nicky, SCNDL, SHINE Ibiza, Paul van Dyk, Shine - SHINE Ibiza Soundtrack 2018",Soundtrack 2018(Continuous Mix 2),SHINEIbiza,,Trance,138,D♯ min,1:05:47,VAN2303
"Paul van Dyk, Shine - SHINE Ibiza Anthem 2018 (Paul van Dyk presents SHINE)",SHINE Ibiza Anthem 2018 (Paul van Dyk presents SHINE)(Original Mix),"PaulvanDyk,Shine",,Trance,138,D maj,5:40,VAN2302
"Chris Bekker, Farius - TXL",TXL(Original Mix),"ChrisBekker,Farius",,Trance,128,G min,6:23,VAN2298
"Woody Van Eyden, James Cottle - Caliber-12 (Extended)",Caliber-12(Extended),"WoodyVanEyden,JamesCottle",,Trance,140,A min,7:39,VAN2307
"Frank Dueffel, Curtis Young - The Cartel (Extended)",The Cartel(Extended),"FrankDueffel,CurtisYoung",,Trance,139,F maj,6:44,VAN2305
CBM - Hex (Extended),Hex(Extended),CBM,,Trance,138,D♯ min,6:00,VAN2304
"Alex M.O.R.P.H., Jordan Suckley - Ambush (Extended)",Ambush(Extended),"AlexM.O.R.P.H.,JordanSuckley",,Trance,136,D min,6:15,VAN2300
Mohamed Bahi - In Her Gray Eyes (Extended),In Her Grey Eyes(Extended),MohamedBahi,,Trance,138,C♯ min,7:22,VAN2308
James Cottle - Forever Young (Extended),Forever Young(Extended),JamesCottle,,Trance,138,D min,6:09,VAN2295
"Amir Hussain, Dark Fusion - Alpine",Alpine(Original Mix),"AmirHussain,DarkFusion",,Trance,138,F♯ min,7:07,VAN2296
"Paul van Dyk, James Cottle - VORTEX (Jardin Remix)",VORTEX(Jardin Remix),"PaulvanDyk,JamesCottle",Jardin,Uplifting,138,A min,6:56,VAN2301
"Richard Lowe, Suzanne Chesterton - Antus",Antus(Extended),"RichardLowe,SuzanneChesterton",,Trance,138,G min,8:20,VAN2286
"Richard Lowe, Suzanne Chesterton - Antus",Antus(Club Mix),"RichardLowe,SuzanneChesterton",,Trance,138,G min,5:40,VAN2286
"Richard Lowe, Suzanne Chesterton - Antus",Antus(Original Mix),"RichardLowe,SuzanneChesterton",,Trance,138,G min,4:00,VAN2286
"Jordan Suckley, Sam Jones - Pursuit (Extended)",Pursuit(Extended),"JordanSuckley,SamJones",,Trance,138,F min,6:15,VAN2297
Alex Ryan - Atlantis (Extended),Atlantis(Extended),AlexRyan,,Uplifting,93,D♯ maj,7:18,VAN2294
"Digital Rush, Mhammed El Alami - Wonderlust (Extended)",Wonderlust(Extended),"DigitalRush,MhammedElAlami",,Trance,138,D maj,6:47,VAN2292
"Alex M.O.R.P.H., Mark Sherry - Magnetar (Extended)",Magnetar(Extended),"AlexM.O.R.P.H.,MarkSherry",,Uplifting,136,A♯ min,8:09,VAN2299
Lostly - Any Given Sunday | When It Ends,Any Given Sunday(Extended),Lostly,,Uplifting,93,B min,5:58,VAN2279
Lostly - Any Given Sunday | When It Ends,When It Ends(Extended),Lostly,,Uplifting,138,A maj,6:13,VAN2279
"Alex M.O.R.P.H., Paul van Dyk - Breaking Dawn",Breaking Dawn(Original Mix),"AlexM.O.R.P.H.,PaulvanDyk",,Trance,138,G♯ maj,6:31,VAN2270
Frank Dueffel - Wherever You Are (Extended),Wherever You Are(Extended),FrankDueffel,,Trance,138,G maj,7:32,VAN2281
"Project 8, Shane Kinsella - Fading Away (Extended)",Fading Away(Extended),"Project8,ShaneKinsella",,Trance,138,D♯ maj,7:18,VAN2282
Pierre Pienaar - Matahari (Extended),Matahari(Extended),PierrePienaar,,Trance,136,F♯ maj,6:38,VAN2283
Jardin - Redline,Redline(Original Mix),Jardin,,Trance,138,F♯ min,6:57,VAN2293
Mohamed Bahi - Hope for a Cure (Extended),Hope for a Cure(Extended),MohamedBahi,,Trance,138,D♯ min,8:06,VAN2285
Alex M.O.R.P.H. - Summer Love Story (Extended),Summer Love Story(Extended),AlexM.O.R.P.H.,,Trance,134,E maj,7:43,VAN2284
Talla 2xlc - The Time Is Now (Extended),The Time Is Now(Extended),Talla2xlc,,Uplifting,138,F♯ maj,6:36,VAN2278
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Levitate(Original Mix),RichardLowe,,Trance,128,D min,3:52,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Destination Summer(Original Mix),EmanueleBraveri,,Trance,128,F maj,3:13,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Episodes(Original Mix),ChrisBekker,,ProgressiveHouse,128,C♯ min,3:09,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",It Is Full of Stars(Original Mix),AlexM.O.R.P.H.,,Trance,136,G♯ maj,3:24,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Argentina(Original Mix),FarhadMahdavi,,Trance,138,D♯ maj,4:23,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Euphoria(Original Mix),RafaelOsmo,,Trance,138,F min,6:08,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",I Am Alive(Original Mix),PaulvanDyk,,Trance,138,C min,4:38,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Rise Up(Original Mix),Jardin,,Trance,138,A♯ min,4:17,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Higher State(Original Mix),PierrePienaar,,Trance,140,A♯ min,2:54,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",U-Bahn(Original Mix),Jardin,,Trance,140,G♯ min,4:27,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",F3f(Original Mix),"AlexM.O.R.P.H.,ScottBond,CharlieWalker",,Trance,138,E maj,3:21,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",The Code(Original Mix),"PaulvanDyk,JordanSuckley",,Trance,138,D min,7:08,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Crazy Whisper(Original Mix),"RonskiSpeed,SaadAyub",,Trance,138,A maj,3:55,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Heart of Life(Skylex Remix),"AlexM.O.R.P.H.,EricLumiere",,Trance,138,E min,3:23,VAN2291
"Richard Lowe, Emanuele Braveri, Chris Bekker, Alex M.O.R.P.H., Farhad Mahdavi - Best of Vandit 2017 (Mixed by Jardin)",Best of Vandit 2017(Mixed by Jardin),Jardin,,Trance,140,A♯ min,1:11:14,VAN2291
"Paul van Dyk, Emanuele Braveri - Escape Reality Tonight",Escape Reality Tonight feat. Rebecca Louise Burch(PvD's Great Escape Mix),"PaulvanDyk,EmanueleBraveri",,Electronica/Downtempo,125,C♯ maj,5:26,VAN2274
"Paul van Dyk, Emanuele Braveri - Escape Reality Tonight",Escape Reality Tonight(Original Mix),"PaulvanDyk,EmanueleBraveri",,Trance,136,C♯ maj,7:42,VAN2274
Steve Allen - Tranceformation,Tranceformation(Original Mix),SteveAllen,,Uplifting,138,D♯ min,5:26,VAN2289
Chris Metcalfe - Tumbleweed (Extended),Tumbleweed(Extended),ChrisMetcalfe,,Trance,140,G min,5:59,VAN2290
Chris Bekker - You (Extended),You(Extended),ChrisBekker,,Progressive,130,D♯ min,6:31,VAN2288
Rafael Osmo - Euphoria,Euphoria(Original Mix),RafaelOsmo,,Trance,138,F min,6:08,VAN2280
Rafael Osmo - Euphoria,Remind Yourself(Original Mix),RafaelOsmo,,Trance,138,D♯ min,6:15,VAN2280
"Ronski Speed, Saad Ayub - Crazy Whisper (Extended)",Crazy Whisper(Extended),"RonskiSpeed,SaadAyub",,Trance,138,A maj,7:09,VAN2253
"Richard Lowe, James Cottle - Airborne (Extended)",Airborne(Extended),"RichardLowe,JamesCottle",,Trance,138,C♯ maj,6:56,VAN2275
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",While You Were Gone(Original Mix),"PaulvanDyk,VincentCorver",,Uplifting,130,A♯ min,5:20,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",Inhale(Original Mix),"FredBaker,PaulvanDyk,M.I.K.E.Push",,Uplifting,138,F maj,6:40,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",Touched By Heaven(Original Mix),PaulvanDyk,,Uplifting,138,D min,7:29,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",I Am Alive(Original Mix),PaulvanDyk,,Uplifting,138,C min,4:38,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On","Everyone Needs Love feat. Gaelan, Eric Lumiere(Original Mix)","RonaldvanGelderen,PaulvanDyk",,Vocal,138,C min,5:49,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",Breaking Dawn(Original Mix),"AlexM.O.R.P.H.,PaulvanDyk",,Uplifting,138,G♯ maj,6:31,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",Vortex(Original Mix),"PaulvanDyk,JamesCottle",,Uplifting,138,A min,6:02,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",The Code(Original Mix),"PaulvanDyk,JordanSuckley",,Uplifting,138,D min,7:08,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",Stronger Together(Original Mix),"PaulvanDyk,PierrePienaar",,Uplifting,138,G maj,7:33,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",From Then On(Original Mix),"PaulvanDyk,LeroyMoreno",,Uplifting,140,G♯ maj,6:39,VAN2273
"Paul van Dyk, Vincent Corver, Fred Baker, M.I.K.E. Push, Ronald van Gelderen - From Then On",Fairytales(Original Mix),"PaulvanDyk,SteveAllen",,Uplifting,138,G maj,6:15,VAN2273
