Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Lehar, SBTH, Acid Pauli, Musumeci, Stereocalypse - Watergate 25 EP #1",Blue Wolf(Original Mix),Lehar,,IndieDance/NuDisco,123,A maj,6:25,WGVINYL053
"Lehar, SBTH, Acid Pauli, Musumeci, Stereocalypse - Watergate 25 EP #1",4W1R6(Original Mix),SBTH,,MelodicHouse&Techno,120,G min,6:27,WGVINYL053
"Lehar, SBTH, Acid Pauli, Musumeci, Stereocalypse - Watergate 25 EP #1",Greetings from Orgonon(Original Mix),AcidPauli,,MelodicHouse&Techno,123,G maj,4:34,WGVINYL053
"Lehar, SBTH, Acid Pauli, Musumeci, Stereocalypse - Watergate 25 EP #1",Invaders(Original Mix),Musumeci,,IndieDance/NuDisco,125,E♭ min,5:32,WGVINYL053
"Lehar, SBTH, Acid Pauli, Musumeci, Stereocalypse - Watergate 25 EP #1",Jubeelee!(Original Mix),Stereocalypse,,MelodicHouse&Techno,120,C maj,6:14,WGVINYL053
"Patrice Baumel, Adana Twins - Roar Remix / Aufstand der Massen",Roar(Adana Twins Remix),PatriceBaumel,AdanaTwins,MelodicHouse&Techno,123,D♭ maj,8:13,WGVINYL052
"Patrice Baumel, Adana Twins - Roar Remix / Aufstand der Massen",Aufstand der Massen(Original Mix),AdanaTwins,,MelodicHouse&Techno,127,F maj,7:15,WGVINYL052
Adana Twins - Watergate 25,Watergate 25(Original Mix),AdanaTwins,,MelodicHouse&Techno,119,G min,1:29:01,WG025
"Ruede Hagelstein, Justin Evans - Microdosing",Dematerialize feat. Justin Evans(Extended Mix),"RuedeHagelstein,JustinEvans",,MelodicHouse&Techno,72,A♭ maj,7:16,WGVINYL051
"Ruede Hagelstein, Justin Evans - Microdosing",Forward Vision(Extended Mix),RuedeHagelstein,,Techno,123,D♭ maj,8:02,WGVINYL051
"Ruede Hagelstein, Justin Evans - Microdosing",Dematerialize feat. Justin Evans(Martin Buttrich Remix),"RuedeHagelstein,JustinEvans",MartinButtrich,TechHouse,123,E♭ maj,7:58,WGVINYL051
"Matthias Meyer, Ryan Davis - Love Letters From Sicily",Love Letters From Sicily(Original Mix),"MatthiasMeyer,RyanDavis",,DeepHouse,121,G maj,9:32,WGVINYL050
"Matthias Meyer, Ryan Davis - Love Letters From Sicily",Hope(John Digweed & Nick Muir Remix),"MatthiasMeyer,RyanDavis","NickMuir,JohnDigweed",MelodicHouse&Techno,124,D maj,7:35,WGVINYL050
"Âme, Domenico Ferrari, Jimi Jules, Egopusher, Jinadu - Watergate 24 EP",119 BPM(Jimi Jules & Jesaya +4 BPM Update),Âme,"JimiJules,Jesaya",TechHouse,123,C min,5:24,WGVINYL049
"Âme, Domenico Ferrari, Jimi Jules, Egopusher, Jinadu - Watergate 24 EP",Parkuhr(Original),"DomenicoFerrari,JimiJules",,DeepHouse,120,A min,6:01,WGVINYL049
"Âme, Domenico Ferrari, Jimi Jules, Egopusher, Jinadu - Watergate 24 EP",Flake(Jimi Jules Remix),Egopusher,JimiJules,IndieDance/NuDisco,120,C maj,6:22,WGVINYL049
"Âme, Domenico Ferrari, Jimi Jules, Egopusher, Jinadu - Watergate 24 EP",Sundroina feat. Jinadu(Jimi Jules Remix),"Jinadu,EdEd,PetjaVirikko",JimiJules,DeepHouse,124,F maj,7:29,WGVINYL049
Jimi Jules - Midnight Juggernaut EP,Abandoned Soul(Original Mix),JimiJules,,MelodicHouse&Techno,124,A min,7:54,WGVINYL048
Jimi Jules - Midnight Juggernaut EP,Abandoned Soul(Recondite Remix),JimiJules,Recondite,MelodicHouse&Techno,123,A min,7:03,WGVINYL048
Jimi Jules - Midnight Juggernaut EP,Midnight Juggernaut(Original Mix),JimiJules,,DeepHouse,121,A♭ maj,4:54,WGVINYL048
Jimi Jules - Midnight Juggernaut EP,Othervision(Original Mix),JimiJules,,MelodicHouse&Techno,120,A min,7:30,WGVINYL048
Jimi Jules - Watergate 24,Watergate 24(Original),JimiJules,,DeepHouse,107,A♭ maj,1:28:00,WG024
La Fleur - Outbreaker EP,Devil Sigh(Original),LaFleur,,MelodicHouse&Techno,125,G maj,8:38,WGVINYL047
La Fleur - Outbreaker EP,Devil Sigh(Tuff City Kids Remix),LaFleur,TuffCityKids,House,130,G min,6:27,WGVINYL047
La Fleur - Outbreaker EP,Outbreaker(Original),LaFleur,,DeepHouse,120,C maj,6:42,WGVINYL047
Adana Twins - Jupiter EP,Jupiter(Original Mix),AdanaTwins,,MelodicHouse&Techno,125,G min,6:35,WGVINYL046
Adana Twins - Jupiter EP,Sequence 01(Original Mix),AdanaTwins,,MelodicHouse&Techno,124,C maj,6:23,WGVINYL046
Fur Coat - Immersion EP,Immersion(Original Mix),FurCoat,,Techno,129,C min,8:28,WGVINYL045
Fur Coat - Immersion EP,Inner Circle(Original Mix),FurCoat,,Techno,124,A maj,8:24,WGVINYL045
"Marco Resmann, Black Soda, Deep Aztec - Babylon Side (feat. Deep Aztec & Black Soda)",Babylon Side(feat. Deep Aztec & Black Soda),"MarcoResmann,BlackSoda,DeepAztec",,AfroHouse,122,B maj,6:51,WGVINYL044
"Marco Resmann, Black Soda, Deep Aztec - Babylon Side (feat. Deep Aztec & Black Soda)",Abadala(feat. Deep Aztec & Black Soda),"MarcoResmann,BlackSoda,DeepAztec",,AfroHouse,121,E min,6:42,WGVINYL044
"Marco Resmann, Black Soda, Deep Aztec - Babylon Side (feat. Deep Aztec & Black Soda)",Babylon Side (feat. Deep Aztec & Black Soda)(Oliver Huntemann Remix),"MarcoResmann,BlackSoda,DeepAztec",OliverHuntemann,Techno,125,G maj,7:11,WGVINYL044
"Marco Resmann, Black Soda, Deep Aztec - Babylon Side (feat. Deep Aztec & Black Soda)",Babylon Side (feat. Deep Aztec & Black Soda)(Marco Resmann Remix),"MarcoResmann,BlackSoda,DeepAztec",,Techno,123,D♭ maj,7:05,WGVINYL044
"Solomun, Henrik Schwarz, Jimi Jules, Matthias Meyer, Ryan Davis - Watergate XV",Amanacer(Original Mix),Solomun,,MelodicHouse&Techno,120,G min,9:03,WG023
"Solomun, Henrik Schwarz, Jimi Jules, Matthias Meyer, Ryan Davis - Watergate XV",Kantine(Original Mix),HenrikSchwarz,,TechHouse,124,C min,7:15,WG023
"Solomun, Henrik Schwarz, Jimi Jules, Matthias Meyer, Ryan Davis - Watergate XV",Every Detail(Original Mix),JimiJules,,DeepHouse,125,E♭ min,7:03,WG023
"Solomun, Henrik Schwarz, Jimi Jules, Matthias Meyer, Ryan Davis - Watergate XV",Hope(Original Mix),"MatthiasMeyer,RyanDavis",,MelodicHouse&Techno,121,D min,7:58,WG023
"Solomun, Henrik Schwarz, Jimi Jules, Matthias Meyer, Ryan Davis - Watergate XV",Arkkaim(Original Mix),"GorjeHewek,Izhevski",,DeepHouse,123,E maj,8:41,WG023
"Solomun, Henrik Schwarz, Jimi Jules, Matthias Meyer, Ryan Davis - Watergate XV",Black Note(Original Mix),"FloydLavine,Gumz",,AfroHouse,123,B min,7:49,WG023
