Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"STANDERWICK, HALIENE - Deep End - Shinovi Remix",Deep End(Shinovi Extended Remix),"STANDERWICK,HALIENE",Shinovi,Trance,138,G min,5:33,WAO138203
Chris Schweizer - Ascension,Ascension(Extended Mix),ChrisSchweizer,,Trance,140,F maj,6:03,WAO138201
Greg Downey - Retrograde,Retrograde(Extended Mix),GregDowney,,Trance,142,D♯ min,7:12,WAO138202
"Ben Gold, Audrey Gallagher - There Will Be Angels - STANDERWICK Remix",There Will Be Angels(STANDERWICK Extended Remix),"BenGold,AudreyGallagher",STANDERWICK,Trance,138,A♯ min,5:25,WAO138200
Shinovi - Kumai,Kumai(Extended Mix),Shinovi,,Psy-Trance,138,E maj,6:11,WAO138198
Jordan Suckley - C.Y.M,C.Y.M(Extended Mix),JordanSuckley,,Trance,138,C♯ min,6:05,WAO138199
"Ram, Exis - Gladiator",Gladiator(Extended Mix),"Ram,Exis",,Trance,138,A♯ min,5:58,WAO138197
Lustral - Everytime - Sneijder Remix,Everytime(Sneijder Extended Remix),Lustral,Sneijder,Trance,140,A maj,7:51,WAO138196
"Aly & Fila, Jwaydan - We Control The Sunlight - Dan Stone Remix",We Control The Sunlight feat. Jwaydan(Dan Stone Extended Remix),"Aly&Fila,Jwaydan",DanStone,Trance,138,E maj,7:03,WAO138195
Sean Mathews - Divinity,Divinity(Extended Mix),SeanMathews,,Trance,138,A♯ maj,6:35,WAO138194
STANDERWICK - I've Been Thinking About You,I've Been Thinking About You(Extended Mix),STANDERWICK,,Trance,138,E min,4:50,WAO138192
"Chris Schweizer, Roxanne Emery - Under The Light",Under The Light feat. Roxanne Emery(Extended Mix),"ChrisSchweizer,RoxanneEmery",,Trance,138,G maj,7:07,WAO138193
Heatbeat - Supersaw,Supersaw(Extended Mix),Heatbeat,,Trance,140,E min,6:03,WAO138189
